nazev,lon,lat
Scrollbar,14.4512675,50.0951466
Wine Bar Křižík,14.451491,50.0943397
Přístav 18600,14.4482929,50.0963578
Na břehu Rhôny,14.4480146,50.0946061
Restaurace a Sportbar U Zábranských,14.453257,50.0931628
Lokál Hamburk,14.446804,50.093192
Frutisimo,14.4532082,50.0931407
Tax magic,14.4465784,50.0939544
Cloud 9 Sky Bar & Lounge,14.439523,50.093484
Sauna David,14.443406,50.0921058
Renault Task Force,14.4413414,50.0934872
VILA Štvanice,14.436037,50.0956456
Single Bar,14.4438072,50.0924259
Bistro LEON,14.4408987,50.0918822
U Bukanýra houseboat music bar,14.4276749,50.0934846
Letná Zahradní restaurace,14.425777,50.0959714
Tobruk,14.4325817,50.0918484
Freeride.cz Cafe Bar,14.4277739,50.0986358
Bejvávalo,14.4328827,50.092195
The James Joyce,14.4232586,50.0910424
La Casa Blů,14.422083,50.0911203
Cafe Fano,14.4241604,50.0908351
Aloha,14.420323,50.0904926
Vinárna U sv. Anežky,14.4238949,50.0918369
Drunken Monkey Prague Pub Crawl,14.420878,50.091685
Hangar Bar,14.4202252,50.0903543
Orange bar,14.4254142,50.0912792
"Európé R.P. s.r.o. - loď Európé, vyhlídkové plavby Praha",14.423099,50.092756
Loď Pivovar,14.425663,50.093493
VINYL BAR PRAGUE,14.4216568,50.0917486
Steak Bar El Pablo,14.4114766,50.0905214
Baterka Bar,14.4196769,50.09103
Kokpit kafe,14.4095389,50.0924553
Pipi Bar Prague,14.4174193,50.0909662
Skoda,14.4173641,50.0909186
Eurohotdog,14.4094893,50.0908322
Staropražská,14.4208784,50.0916849
Public Interest,14.4216277,50.0917638
Augustine Restaurant,14.4061121,50.0890982
Restaurace Waldštejnská Hospoda,14.4050784,50.0897115
Waldštejnská hospoda,14.405106,50.089703
Pivovar a restaurace Vojanův Dvůr,14.409886,50.0896892
Refectory Bar,14.406796,50.088977
U Hrocha,14.4032256,50.0892105
Beer Hall,14.4045872,50.0890303
Medieval Tavern - U krále Brabantského,14.4015768,50.0889871
U císařů,14.3948097,50.0887756
